Player Name,Position,Team,Goals Conceded,Goals Conceded per 90,xGC,xGC per 90,Penalties Saved,Saves,Saves per 90
Karl Hein,GKP,Arsenal,0,0,0,0,0,0,0
David Raya Martin,GKP,Arsenal,15,0.94,14.27,0.89,0,40,2.5
Norberto Murara Neto,GKP,Arsenal,2,1,2.91,1.46,0,11,5.5
Tommy Setford,GKP,Arsenal,0,0,0,0,0,0,0
Joe Gauci,GKP,Aston Villa,0,0,0,0,0,0,0
Filip Marschall,GKP,Aston Villa,0,0,0,0,0,0,0
Emiliano Martínez Romero,GKP,Aston Villa,24,1.55,18.66,1.2,1,38,2.45
Robin Olsen,GKP,Aston Villa,1,2,0.79,1.58,0,2,4
Viljami Sinisalo,GKP,Aston Villa,0,0,0,0,0,0,0
Oliwier Zych,GKP,Aston Villa,0,0,0,0,0,0,0
Alex Paulsen,GKP,Bournemouth,0,0,0,0,0,0,0
Mark Travers,GKP,Bournemouth,3,1,4.15,1.38,0,12,4
Kepa Arrizabalaga,GKP,Bournemouth,15,1.5,10.88,1.09,0,33,3.3
Will Dennis,GKP,Bournemouth,0,0,0,0,0,0,0
Mark Flekken,GKP,Brentford,30,1.88,28.03,1.75,0,77,4.81
Hákon Valdimarsson,GKP,Brentford,0,0,0,0,0,0,0
Jason Steele,GKP,Brighton,1,0.5,1.88,0.94,0,3,1.5
Bart Verbruggen,GKP,Brighton,24,1.71,23.66,1.69,0,42,3
Carl Rushworth,GKP,Brighton,0,0,0,0,0,0,0
Killian Cahill,GKP,Brighton,0,0,0,0,0,0,0
Lucas Bergström,GKP,Chelsea,0,0,0,0,0,0,0
Marcus Bettinelli,GKP,Chelsea,0,0,0,0,0,0,0
?or?e Petrovi?,GKP,Chelsea,0,0,0,0,0,0,0
Robert Sánchez,GKP,Chelsea,18,1.2,21.32,1.42,1,50,3.33
Filip Jørgensen,GKP,Chelsea,1,1,1.56,1.56,0,3,3
Dean Henderson,GKP,Crystal Palace,21,1.31,22.13,1.38,1,51,3.19
Remi Matthews,GKP,Crystal Palace,0,0,0,0,0,0,0
Matt Turner,GKP,Crystal Palace,0,0,0,0,0,0,0
João Neves Virgínia,GKP,Everton,0,0,0,0,0,0,0
Jordan Pickford,GKP,Everton,21,1.4,19.77,1.32,1,41,2.73
Asmir Begovic,GKP,Everton,0,0,0,0,0,0,0
Steven Benda,GKP,Fulham,0,0,0,0,0,0,0
Bernd Leno,GKP,Fulham,22,1.38,20.21,1.26,0,44,2.75
Cieran Slicker,GKP,Ipswich,0,0,0,0,0,0,0
Christian Walton,GKP,Ipswich,2,2,2.65,2.65,0,3,3
Arijanet Muric,GKP,Ipswich,26,1.73,30.94,2.06,0,61,4.07
Mads Hermansen,GKP,Leicester,31,2,31.84,2.05,0,65,4.19
Daniel Iversen,GKP,Leicester,0,0,0,0,0,0,0
Jakub Stolarczyk,GKP,Leicester,0,0,0,0,0,0,0
Danny Ward,GKP,Leicester,3,6,2.29,4.58,0,3,6
Alisson Ramses Becker,GKP,Liverpool,4,0.58,4.96,0.72,0,16,2.33
Caoimhin Kelleher,GKP,Liverpool,9,1.12,9.68,1.21,1,24,3
Vítezslav Jaros,GKP,Liverpool,0,0,0.14,1.15,0,1,8.18
Harvey Davies,GKP,Liverpool,0,0,0,0,0,0,0
Scott Carson,GKP,Man City,0,0,0,0,0,0,0
Ederson Santana de Moraes,GKP,Man City,19,1.46,17.82,1.37,0,29,2.23
Stefan Ortega Moreno,GKP,Man City,4,1.33,5.73,1.91,0,9,3
Altay Bayindir,GKP,Man Utd,0,0,0,0,0,0,0
Tom Heaton,GKP,Man Utd,0,0,0,0,0,0,0
André Onana,GKP,Man Utd,19,1.19,23.26,1.45,1,41,2.56
Martin Dúbravka,GKP,Newcastle,0,0,0.19,0.19,0,1,1
Odysseas Vlachodimos,GKP,Newcastle,0,0,0,0,0,0,0
Nick Pope,GKP,Newcastle,21,1.4,20.45,1.36,0,54,3.6
John Ruddy,GKP,Newcastle,0,0,0,0,0,0,0
Carlos Miguel dos Santos Pereira,GKP,Nott'm Forest,0,0,0,0,0,0,0
Matz Sels,GKP,Nott'm Forest,19,1.19,17.5,1.09,0,44,2.75
Aaron Ramsdale,GKP,Southampton,19,2.11,20.33,2.26,0,36,4
Gavin Bazunu,GKP,Southampton,0,0,0,0,0,0,0
Mateusz Lis,GKP,Southampton,0,0,0,0,0,0,0
Joe Lumley,GKP,Southampton,7,2.33,9.4,3.13,0,13,4.33
Alex McCarthy,GKP,Southampton,10,2.5,8.47,2.12,0,19,4.75
Brandon Austin,GKP,Spurs,0,0,0,0,0,0,0
Fraser Forster,GKP,Spurs,6,1.5,8.2,2.05,0,20,5
Guglielmo Vicario,GKP,Spurs,13,1.08,15.25,1.27,0,29,2.42
Alfie Whiteman,GKP,Spurs,0,0,0,0,0,0,0
Alphonse Areola,GKP,West Ham,14,1.87,11.76,1.57,0,20,2.67
?ukasz Fabia?ski,GKP,West Ham,14,1.87,15.28,2.04,0,24,3.2
Wes Foderingham,GKP,West Ham,0,0,0,0,0,0,0
Sam Johnstone,GKP,Wolves,17,2.43,12.98,1.85,0,23,3.29
Daniel Bentley,GKP,Wolves,0,0,0,0,0,0,0
José Malheiro de Sá,GKP,Wolves,23,2.56,14.24,1.58,0,27,3
Tom King,GKP,Wolves,0,0,0,0,0,0,0
